	city	website	response_code	sitemap_url	sitemap_exists
104	Detmold	https://www.Detmold.de/	200	https://www.Detmold.de/sitemap.xml	FALSE
105	Bayreuth	https://www.Bayreuth.de/	200	https://www.Bayreuth.de/sitemap.xml	TRUE
106	Arnsberg	https://www.Arnsberg.de/	200	https://www.Arnsberg.de/sitemap.xml	FALSE
107	Aschaffenburg	https://www.Aschaffenburg.de/	200	https://www.Aschaffenburg.de/sitemap.xml	TRUE
108	Bocholt	https://www.Bocholt.de/	200	https://www.Bocholt.de/sitemap.xml	TRUE
110	Celle	https://www.Celle.de/	200	https://www.Celle.de/sitemap.xml	TRUE
111	Fulda	https://www.Fulda.de/	200	https://www.Fulda.de/sitemap.xml	TRUE
112	Lippstadt	https://www.Lippstadt.de/	200	https://www.Lippstadt.de/sitemap.xml	FALSE
113	Aalen	https://www.Aalen.de/	200	https://www.Aalen.de/sitemap.xml	FALSE
114	Dinslaken	https://www.Dinslaken.de/	200	https://www.Dinslaken.de/sitemap.xml	FALSE
115	Herford	https://www.Herford.de/	200	https://www.Herford.de/sitemap.xml	TRUE
117	Neuwied	https://www.Neuwied.de/	200	https://www.Neuwied.de/sitemap.xml	FALSE
118	Weimar	https://www.Weimar.de/	200	https://www.Weimar.de/sitemap.xml	TRUE
119	Dormagen	https://www.Dormagen.de/	200	https://www.Dormagen.de/sitemap.xml	FALSE
120	Sindelfingen	https://www.Sindelfingen.de/	200	https://www.Sindelfingen.de/sitemap.xml	FALSE
121	Plauen	https://www.Plauen.de/	200	https://www.Plauen.de/sitemap.xml	TRUE
122	Grevenbroich	https://www.Grevenbroich.de/	200	https://www.Grevenbroich.de/sitemap.xml	FALSE
123	Rosenheim	https://www.Rosenheim.de/	200	https://www.Rosenheim.de/sitemap.xml	TRUE
124	Neubrandenburg	https://www.Neubrandenburg.de/	200	https://www.Neubrandenburg.de/sitemap.xml	TRUE
125	Friedrichshafen	https://www.Friedrichshafen.de/	200	https://www.Friedrichshafen.de/sitemap.xml	FALSE
126	Herten	https://www.Herten.de/	200	https://www.Herten.de/sitemap.xml	TRUE
127	Bergheim	https://www.Bergheim.de/	200	https://www.Bergheim.de/sitemap.xml	FALSE
128	Offenburg	https://www.Offenburg.de/	200	https://www.Offenburg.de/sitemap.xml	FALSE
130	Wesel	https://www.Wesel.de/	200	https://www.Wesel.de/sitemap.xml	TRUE
131	Huerth	https://www.Huerth.de/	200	https://www.Huerth.de/sitemap.xml	FALSE
132	Unna	https://www.Unna.de/	200	https://www.Unna.de/sitemap.xml	FALSE
133	Euskirchen	https://www.Euskirchen.de/	200	https://www.Euskirchen.de/sitemap.xml	TRUE
134	Greifswald	https://www.Greifswald.de/	200	https://www.Greifswald.de/sitemap.xml	FALSE
135	Stralsund	https://www.Stralsund.de/	200	https://www.Stralsund.de/sitemap.xml	FALSE
136	Goeppingen	https://www.Goeppingen.de/	200	https://www.Goeppingen.de/sitemap.xml	FALSE
137	Hameln	https://www.Hameln.de/	200	https://www.Hameln.de/sitemap.xml	TRUE
138	Meerbusch	https://www.Meerbusch.de/	200	https://www.Meerbusch.de/sitemap.xml	TRUE
139	Goerlitz	https://www.Goerlitz.de/	200	https://www.Goerlitz.de/sitemap.xml	TRUE
140	Waiblingen	https://www.Waiblingen.de/	200	https://www.Waiblingen.de/sitemap.xml	FALSE
141	Eschweiler	https://www.Eschweiler.de/	200	https://www.Eschweiler.de/sitemap.xml	TRUE
142	Hilden	https://www.Hilden.de/	200	https://www.Hilden.de/sitemap.xml	TRUE
143	Pulheim	https://www.Pulheim.de/	200	https://www.Pulheim.de/sitemap.xml	FALSE
146	Schweinfurt	https://www.Schweinfurt.de/	200	https://www.Schweinfurt.de/sitemap.xml	TRUE
147	Hattingen	https://www.Hattingen.de/	200	https://www.Hattingen.de/sitemap.xml	FALSE
148	Wetzlar	https://www.Wetzlar.de/	200	https://www.Wetzlar.de/sitemap.xml	FALSE
149	Passau	https://www.Passau.de/	200	https://www.Passau.de/sitemap.xml	TRUE
150	Kleve	https://www.Kleve.de/	200	https://www.Kleve.de/sitemap.xml	TRUE
151	Ahlen	https://www.Ahlen.de/	200	https://www.Ahlen.de/sitemap.xml	TRUE
152	Frechen	https://www.Frechen.de/	200	https://www.Frechen.de/sitemap.xml	FALSE
153	Wolfenbuettel	https://www.Wolfenbuettel.de/	200	https://www.Wolfenbuettel.de/sitemap.xml	TRUE
